date,provider,model,input_price_usd,output_price_usd,capability_proxy
2024-01-01,OpenAI,gpt-4-turbo,10.0,30.0,86
2024-07-01,OpenAI,gpt-4o-mini,0.15,0.6,72
2025-01-01,OpenAI,gpt-4.1-mini,0.4,1.6,80
2026-01-01,OpenAI,gpt-5-mini,0.25,1.0,88
2024-01-01,Anthropic,claude-3-sonnet,3.0,15.0,78
2024-07-01,Anthropic,claude-3.5-sonnet,3.0,15.0,84
2025-01-01,Anthropic,claude-3.7-sonnet,3.0,15.0,86
2026-01-01,Anthropic,claude-4-sonnet,2.5,12.5,89
2024-01-01,Google,gemini-1.0-pro,0.5,1.5,70
2024-07-01,Google,gemini-1.5-pro,1.25,5.0,81
2025-01-01,Google,gemini-2.0-flash,0.3,2.5,83
2026-01-01,Google,gemini-2.5-pro,1.0,4.0,90
